region,name,website,address,telephone,email,google_maps,sales_territory,certification,industrial,medical,lighting,din-rail,panel-mount,open-frame,enclosed,configurable,wireless-charging-system,adapter,led-driver,stocking,after-sales,online-shop
Americas,"Arrow Electronics, Inc.",www.arrow.com/en/products/manufacturers/d/delta-electronics,"9201 East Dry Creek Road, Centennial, CO 80112",+1 800 833 3557,advantagesales@arrow.com,"https://www.google.com/maps/?q=48.146118,11.689726&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,Avnet Inc,www.avnet.com/shop/us/m/delta-group,"2211 South 47th St, Phoenix, AZ 85034",+1 800 408 8353,onlinesupportUS@avnet.com,"https://www.google.com/maps/?q=33.4274752,-111.9800088&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,DigiKey,www.digikey.com/en/supplier-centers/delta-product-groups,"701 Brooks Avenue South, Thief River Falls, MN 56701",+1 800 344 4539,sales@digikey.com,"https://www.google.com/maps/?q=48.1097337,-96.1960184&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,Mouser Electronics,www.mouser.com/delta-electronics,"1000 North Main Street Mansfield, TX 76063",+1 800 346 6873,sales@mouser.com,"https://www.google.com/maps/?q=32.5789443,-97.1471074&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,Future Electronics Corp,www.futureelectronics.com/m/delta,"237 Hymus Boulevard, Pointe Claire, Quebec, Canada H9R 5C7",+1 (800) 675-1619,,"https://www.google.com/maps/?q=45.45971856033397,-73.82475397747795&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,Master Electronics,https://www.masterelectronics.com/en/suppliers/delta-power-industrial-automation-2322/,"2425 South 21st Street, Phoenix, AZ 85034",+1 888-473-5297,webstore@masterelectronics.com,"https://www.google.com/maps/?q=33.42568503440705,-112.03567693068197&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,"TRC Electronics, Inc.",https://trcelectronics.com/pages/delta,"4171 Stony Lane, Doylestown, PA 18902",+1-888-612-9514,sales@trcelectronics.com,"https://www.google.com/maps/?q=40.338489872411024,-75.11925810179146&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,Electro Sonic,https://www.e-sonic.com/en/suppliers/delta-power-industrial-automation-2322/,"60 Renfrew Dr., Suite 110, Markham, Ontario L3R 0E1 Canada",+1 905-946-0100,info@e-sonic.com,"https://www.google.com/maps/?q=43.85797625412811,-79.36284504048814&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Americas,OnlineComponents.com,https://www.onlinecomponents.com/en/suppliers/delta-power-industrial-automation-2322/,"2425 South 21st Street Phoenix, AZ 85034",+1 833-393-8007,cs@onlinecomponents.com,"https://www.google.com/maps/?q=33.42631046742548,-112.03479317099321&sensor=true",US,,1,1,1,1,1,1,1,1,0,1,1,1,1,1
Europe,Avnet Abacus,https://my.avnet.com/abacus/manufacturers/m/delta-group/,"Einsteinring 1, 85609, Dornach, Germany",+49893888820,OnlineSupportEU@Avnet.com,"https://www.google.com/maps/?q=48.146118,11.689726&sensor=true",EMEA,,1,1,1,1,1,1,1,1,1,1,1,1,1,0
Europe,MPL,https://b2b.mplpower.pl/product/list/page/1?productcategoryid=1190,"44-119 Gliwice, Wschodnia 40, Poland",+48 32 44 00 850,power@mplpower.pl,"https://www.google.com/maps/?q=50.277158111592826,18.73710014476625&sensor=true",Poland,,1,1,0,1,1,1,1,0,0,1,0,1,1,0
Europe,Neumueller Elektronik GmbH,https://www.neumueller.com/en/hersteller/delta-electronics,"Gewerbegebiet Ost 7, D-91085 Weisendorf, Germany",+49 9135 7366665,info@neumueller.com,"https://www.google.com/maps/?q=49.6290712,10.8390038&sensor=true",Germany,,1,1,0,1,1,1,1,1,0,1,0,1,1,0
Europe,SGE Syscom,https://www.sge-syscom.com/it/catalogo/delta-psu,"Sede Commerciale e Amministrativa, Via Gran Sasso, 35 - 20092 CINISELLO BALSAMO (MI), Italy",+39 02 617901 (15 Linee r.a.),info@sge-syscom.com,"https://www.google.com/maps/?q=45.559601,9.206356&sensor=true",Italy,,1,1,0,1,1,1,1,1,0,0,0,1,1,0
Europe,A&C Solutions,https://www.ac-solutions.be/nl/merken/delta,"Slachthuisstraat 68 bus 6, 2300 Turnhout, Belgium",+3214735370,sales@ac-solutions.be,"https://www.google.com/maps/?q=51.30446,4.92328&sensor=true",Belgium,,1,0,0,1,1,1,1,0,0,0,0,0,1,0
Europe,MEV Elektronik Service GmbH,https://www.mev-elektronik.com/lieferanten/delta,"Nordel 5a, 49176 Hilter a.T.W., 49176 Germany","+49 (0) 54 24 23 40-0, +49 (0) 54 24 23 40-0",info@mev-elektronik.com,"https://www.google.com/maps/?q=52.13207698805076,8.157520455335362&sensor=true",Germany,,1,1,0,1,1,1,1,1,0,1,0,0,1,0
Europe,FORTEC Switzerland,https://www.fortec.ch/de,"Bahnhofstrasse 3, CH-5436 Würenlos, Switzerland",+41447446111,info@fortec.ch,"https://www.google.com/maps/?q=47.44554,8.35982&sensor=true",Switzerland,,1,1,0,1,1,1,1,1,1,0,0,1,1,0
Europe,Fortec Power GmbH,https://www.fortec.ch/de,"Bahnhofstrasse 3, CH-5436 Würenlos, Switzerland",+41447446111,info@fortec.ch,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Europe,Elgood Oy,Power Supplies - Elgood,"Juurakkotie 5B, 01510 VANTAA, Finland",+358207981140,joonas.holviala@elgood.fi,"https://www.google.com/maps/?q=60.29145511755065,24.991059555406295&sensor=true",Finland,,1,1,0,0,1,0,1,0,1,1,0,1,1,0
Europe,Future Electronics,https://www.futureelectronics.com/c/electromechanical/power-supplies--ac-dc/products?q=Delta:relevance:manufacturerName:Delta,"The Glanty, Egham, Surrey, United Kingdom TW20 9AH",+44 1784 275000,,"https://www.google.com/maps/?q=51.434555085391,-0.5340554255271626&sensor=true",EMEA,,1,1,0,1,1,1,1,0,0,0,0,0,1,0
Europe,Luso Electronics,https://www.lusoelectronics.com/manufacturers/delta-electronics/,"595 Salisbury House, London Wall, London EC2M 5QQ, United Kingdom",+44 (0) 207 588 1109,sales@lusoelectronics.com,"https://www.google.com/maps/?q=51.51743904690537,-0.08743432222106894&sensor=true",UK,,1,1,0,1,1,1,1,1,0,1,0,1,1,0
Europe,Steliau Technology,Delta | Steliau,A. 41/43 rue Périer 92120 Montrouge France,+33 (0)1 55 58 04 04,contact@steliau.fr,"https://www.google.com/maps/?q=48.81408188816697,2.3159843953288815&sensor=true",France,,1,1,0,0,1,1,1,1,0,1,0,1,1,0
Europe,AE Service,https://aeservice.fr/product/delta-electronics,"1 rue des Cytises, ZAC de Montrambert Pigeot, 42150 La Ricamarie, France",+33(0)4 77 41 21 47,aeservice@aeservice.fr,"https://www.google.com/maps/?q=45.4098957639448,4.364581425446536&sensor=true",France,,1,1,0,1,1,1,1,0,0,0,0,1,0,0
Europe,Arrow Central Europe Gmbh,https://www.arrow.com/en/manufacturers/delta-electronics,"Hildebrandstraße 11, 44319 Dortmund, Germany",+49231218010,,"https://www.google.com/maps/?q=51.53185808667624,7.630207495529387&sensor=true",EMEA,,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Europe,Elektrospoji d.o.o.,Delta Electronics | Delta IABG | Electrical Connections - Electrical Connections,"Stegne 27, 1000 Ljubljana, Slovenia",+386 (1) 511 38 10,info@elektrospoji.si,"https://www.google.com/maps/?q=46.08826754983997,14.481887012689942&sensor=true",Slovenia,,1,1,0,1,1,1,1,1,0,0,0,1,1,0
Europe,Verbax,https://www.verbax.it/en/manufacturer/delta,"Piazza delle, Istituzioni 39F, 31100 Treviso, Italia",+39 0426 270021,sales@verbax.it,"https://www.google.com/maps/?q=45.66816121266383,12.229088083836702&sensor=true",Italy,,0,0,1,0,0,0,0,0,0,0,1,0,0,1
Europe,Perel Oy,AC/DC Power Supplies for DIN Rail | Power Supplies | Power Supplies | Automation Components | Perel Ltd,"Torpankatu 28, 05830 Hyvinkää, Finland",(019) 871 11,niko.karttunen@perel.fi,"https://www.google.com/maps/?q=60.61871591467061,24.81375982688589&sensor=true",Finland,,1,0,0,1,0,0,0,0,0,0,0,1,0,1
Europe,MECTER SL,Distribuidor de componentes electrónicos: DELTA,"Ctra. del Mig, 53, 08907 L'Hospitalet de Llobregat, Barcelona, Spain",+34 93 422 71 85,infos@mecter.com,"https://www.google.com/maps/?q=41.35765998577143,2.11182639715283&sensor=true",Spain,,1,1,0,1,1,1,1,1,0,0,0,0,1,0
Europe,Electro Pneumatic Solutions DOO (EP-Solutions),https://www.ep-solutions.rs/en/delta,"Jugoslovenska 2/13A, Čukarica, Beograd, Serbia",+381 64 659 66 55,office@ep-solutions.rs,"https://www.google.com/maps/?q=44.726939816372486,20.363365214818206&sensor=true",Serbia,,1,1,0,1,1,1,1,0,0,1,0,1,1,1
