URL,Remark,,
https://psu.deltaww.com/product/index/din-rail-power-supply/1/2,OK,,
https://psu.deltaww.com/product/index/panel-mount-power-supply/2/2,OK,,
https://psu.deltaww.com/product/index/open-frame-power-supply/3/2,OK,,
https://psu.deltaww.com/product/index/adapter/8/2,OK,,
https://psu.deltaww.com/product/index/modules/5/2,OK,,
https://psu.deltaww.com/product/index/open-frame-power-supply/3/1,OK,,
https://psu.deltaww.com/product/index/enclosed/9/1,OK,,
https://psu.deltaww.com/product/index/adapter/8/1,OK,,
https://psu.deltaww.com/product/index/CC+Cv_Mode/1/3,OK,,
https://psu.deltaww.com/product/index/CC_Mode/2/3,OK,,
https://psu.deltaww.com/product/index/CV_Mode/3/3,OK,,
https://psu.deltaww.com/product/index/configurable-power-supply/7/1,Anchor text doesn't work on product categories page,,
https://psu.deltaww.com/product/index/configurable-power-supply/7/2,Anchor text doesn't work on product categories page,,
https://psu.deltaww.com/product/index/wireless-charging-system/10/4,Anchor text doesn't work on product categories page,,
https://psu.deltaww.com/en/product/din-rail-power-supply/1,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/force-gt/108,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/force-gt/108,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/lyte-ii/90,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/lyte-ii/90,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/chrome-ii/99,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/chrome-ii/99,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/cliq-iii/29,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/cliq-iii/29,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/cliq-m/2,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/cliq-m/2,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/cliq-va/30,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/cliq-va/30,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/lyte/21,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/lyte/21,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/chrome/3,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/chrome/3,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/sync/4,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/sync/4,
https://psu.deltaww.com/en/product/din-rail-power-supply/1/cliq-ii/1,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/din-rail-power-supply/1/cliq-ii/1,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pms/117,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pms/117,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pmr/9,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pmr/9,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pmt2/32,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pmt2/32,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pmt2-eco-%28high-line%29/111,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pmt2-eco-%28high-line%29/111,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pmu/25,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pmu/25,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pmt/6,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pmt/6,
https://psu.deltaww.com/en/product/panel-mount-power-supply/2/pmh/8,Set 301 redirect to new link,https://psu.deltaww.com/en/product/2/panel-mount-power-supply/2/pmh/8,
